Filename,Time,ChannelName,title,audio_id,duration,TYPE1,EXECUTION,TYPE2
C:\Users\owlwang\Desktop\B&C\BC_TestMedia\OKK AA MADAME .mp3,0:1:10,TMD,FORFAIT INTERNET EQUILIBRE,AFRICELL,0:1:39,MASS,SPOT,
C:\Users\owlwang\Desktop\B&C\BC_TestMedia\OKK AA MADAME .mp3,0:6:50,TMD,pack Orange Huawei P9,ORANGE,0:1:1,MASS,SPOT,TERMINAUX
C:\Users\owlwang\Desktop\B&C\BC_TestMedia\OKK AA MADAME .mp3,0:15:10,TMD,Ange Gabriel,VODACOM,0:1:51,YOUTH,SPOT,VOICE DATA
C:\Users\owlwang\Desktop\B&C\BC_TestMedia\OKK AA MADAME .mp3,0:15:20,TMD,Ange Gabriel,VODACOM,0:1:51,YOUTH,SPOT,VOICE DATA
C:\Users\owlwang\Desktop\B&C\BC_TestMedia\OKK AA MADAME .mp3,0:15:30,TMD,Ange Gabriel,VODACOM,0:1:51,YOUTH,SPOT,VOICE DATA
C:\Users\owlwang\Desktop\B&C\BC_TestMedia\OKK AA MADAME .mp3,0:15:40,TMD,Ange Gabriel,VODACOM,0:1:51,YOUTH,SPOT,VOICE DATA
C:\Users\owlwang\Desktop\B&C\BC_TestMedia\OKK AA MADAME .mp3,0:15:50,TMD,Ange Gabriel,VODACOM,0:1:51,YOUTH,SPOT,VOICE DATA
C:\Users\owlwang\Desktop\B&C\BC_TestMedia\OKK AA MADAME .mp3,0:16:0,TMD,Ange Gabriel,VODACOM,0:1:51,YOUTH,SPOT,VOICE DATA
C:\Users\owlwang\Desktop\B&C\BC_TestMedia\OKK AA MADAME .mp3,0:16:10,TMD,Ange Gabriel,VODACOM,0:1:51,YOUTH,SPOT,VOICE DATA
C:\Users\owlwang\Desktop\B&C\BC_TestMedia\OKK AA MADAME .mp3,0:16:20,TMD,Ange Gabriel,VODACOM,0:1:51,YOUTH,SPOT,VOICE DATA
C:\Users\owlwang\Desktop\B&C\BC_TestMedia\OKK AA MADAME .mp3,0:16:30,TMD,Ange Gabriel,VODACOM,0:1:51,YOUTH,SPOT,VOICE DATA
C:\Users\owlwang\Desktop\B&C\BC_TestMedia\OKK AA MADAME .mp3,0:16:40,TMD,Ange Gabriel,VODACOM,0:1:51,YOUTH,SPOT,VOICE DATA
C:\Users\owlwang\Desktop\B&C\BC_TestMedia\OKK AA MADAME .mp3,0:16:50,TMD,Ange Gabriel,VODACOM,0:1:51,YOUTH,SPOT,VOICE DATA
C:\Users\owlwang\Desktop\B&C\BC_TestMedia\OKK AA MADAME .mp3,0:17:0,TMD,Ange Gabriel,VODACOM,0:1:51,YOUTH,SPOT,VOICE DATA
C:\Users\owlwang\Desktop\B&C\BC_TestMedia\OKK AA MADAME .mp3,0:30:20,TMD,pack Orange Huawei P9,ORANGE,0:1:1,MASS,SPOT,TERMINAUX
C:\Users\owlwang\Desktop\B&C\BC_TestMedia\OKK AA MADAME .mp3,0:32:10,TMD,WOHOO 2e Mi-Temps,AIRTEL,0:0:49,YOUTH,SPOT,VOICE DATA
C:\Users\owlwang\Desktop\B&C\BC_TestMedia\OKK AA MADAME .mp3,0:32:20,TMD,WOHOO 2e Mi-Temps,AIRTEL,0:0:49,YOUTH,SPOT,VOICE DATA
C:\Users\owlwang\Desktop\B&C\BC_TestMedia\OKK AA MADAME .mp3,0:32:30,TMD,WOHOO 2e Mi-Temps,AIRTEL,0:0:49,YOUTH,SPOT,VOICE DATA
